Year,Title,Origin,Director,Cast,Genre,Plot
Charlie is despondent. He leaves the park and staggers,"now apparently drunk","over wide road","almost getting hit by car he arrives same hotel after propositioning girl outside","enters","falling over man's gout-bound leg reception desk he checks register see which room couple are","slides comically back foot his stomach he makes several more dangerously balanced comical attempts"
1914,"cinderella","american","james kirkwood","mary pickford owen moore isobel vernon","fantasy drama","cinderella is kind young woman who lives her wicked stepmother ugly stepsisters they abuse her use her as house maid cinderella thinks she's all alone world but doesn't know fairy godmother is constantly helping her one day she is collecting wood from forest meets prince charming they immediately fall love each other but lose contact soon ball is arranged by prince look his future wife stepsisters think they make great chance being chosen by prince cinderella wants go as well but isn't allowed by her cruel family"
The next day,"royal heralds announce prince's wish marry woman whose foot fits lost glass slipper sisters go palace try fit their feet into slippers","while cinderella is yet again forced stay home it becomes clear royal heralds every woman town has tried but failed wear slippers","except cinderella prince charming immediately goes visit her is shocked when he finds out she is poor maid he doesn't turn his back against her","though","he invites her try slipper when she does","but she refuses"
1914,"cruel cruel love","american","george nichols mack sennett","charlie chaplin edgar kennedy minta durfee","comedy","chaplin plays character quite different from little tramp which he would become famous this short keystone film chaplin is instead rich upper-class gentleman lord helpus whose romance is endangered when his girlfriend played by minta durfee sees him being embraced by her maid jumps wrong conclusion she angrily sends lord helpus away saying she never wants see him again distraught when lord helpus arrives home he is determined end his life he swallows what he thinks is glass poison envisions himself being tortured hell not long afterward girlfriend's gardener maid explain minta that lord helpus was not flirting all minta quickly sends note apology lord helpus upon reading it lord helpus flies into panic summons ambulance help him before he dies from fatal dose poison there is no danger lord helpus expiring his butler had stealthily switched liquid glass harmless water"
1914,"dough dynamite","american","charlie chaplin","charlie chaplin chester conklin fritz schade","comedy","story involves chaplin chester conklin working as waiters restaurant charlie is especially inept his comic carelessness enrages customers workers restaurant's bakery go strike more pay but are fired by unsympathetic proprietor charlie is put work bakery where his lack skills upsets his boss co-worker chester conklin meanwhile vengeful strikers have arranged smuggle loaf bread concealing stick dynamite into bakery during free-for-all involving charlie chester their boss dynamite dramatically explodes end film charlie emerges groggily from pile sticky dough"
1914,"escape","american","d w griffith","donald crisp blanche sweet mae marsh","drama","film begins short prologue explaining science eugenics contrasting careful selection observed animal world less predictable breeding habits humans this is illustrated by story joyce family headed by jim joyce turner cruel senseless man joyce's son larry harron is by nature sensitive kid but jim joyce turns him into heartless monster strangling cat as sort coming age ritual"
1914,"film johnnie","american","george nichols","charlie chaplin fatty arbuckle mabel normand","otros","charlie goes movies falls love girl screen he goes keystone studios find her he disrupts shooting film fire breaks out charlie is blamed gets squirted firehose is shoved by female star"
1914,"florida enchantment","american","sydney drew","sydney drew edith storey","otros","film lillian travers wealthy northern woman about be married takes magical seed which transforms its user into opposite gender lillian's transformation into lawrence talbot has also sometimes been read as transformation into butch lesbian this reading is bolstered by later transformation lillian's fianc into what could be effemininate gay man however as lillian her fianc are shown attracted both each other same sex albeit different times film has also been considered have first documented appearance bisexual characters american motion picture1"
1914,"gentlemen nerve","american","charlie chaplin","charlie chaplin mabel normand chester conklin","comedy","mabel her beau go auto race are joined by charlie his friend as charlie's friend is attempting enter raceway through hole friend gets stuck policeman shows up"
1914,"getting acquainted","american","charlie chaplin","charlie chaplin mabel normand phyllis allen","comedy","one chaplin's park comedies keystone studios charlie his domineering wife mrs sniffles are walking greensward when mrs sniffles falls asleep park bench charlie takes opportunity walk away from her he encounters pretty mabel moment mabel's husband ambrose is occupied trying help stranger start his car charlie attempts woo mabel but is quickly rebuffed park policeman comes her aid meanwhile ambrose encounters charlie's wife is attracted her he too is rebuffed ambrose charlie both run afoul pretty blonde woman her fez-wearing escort park policeman pursues both charlie ambrose their unwanted attentions directed strange women charlie is eventually caught by policeman who brings him back mrs sniffles she saves him from arrest but roughly begins escort him home"
1914,"his father's rifle","american","edward lesaint","earle foxe bertram grassby","drama","james birch english hunter is accidentally shot by servant kirke warren wild animal painter who is camping jungle terrified servant leaves rifle which is marked his master's initials beside body man later warren meets mrs birch widow unfortunate hunter is invited house party given by her here he finds rifle which she has kept hopes some time discovering identity her husband's supposed murderer thinking that warren is man she plans vengeance by sending him hunting rifle equipped cartridges size too large as result these cartridges jamming when warren is attacked by lion he is nearly killed by this ferocious beast meantime mrs birch becoming conscience stricken sets out find hunting party order prevent catastrophe which she had planned after losing her way falling band hostile zulus she is rescued through efforts warren who though wounded leads searching party while warren is being nursed back life servant confesses truth about shooting mr warren mrs birch discover that she warren have grown love one another"
1914,"his majesty scarecrow oz","american","j farrell macdonald","violet macmillan pierre couderc","otros","king krewl raymond russell is cruel dictator emerald city land oz he wishes marry his daughter princess gloria vivian reed old courtier named googly-goo arthur smollett but she is love pon gardener's boy todd wright krewl employs wicked witch named mombi mai wells freeze heart gloria so she will not love pon any longer this she does by pulling out her heart which looks somewhere between valentine bland representation heart without any vessels coating it ice meanwhile lost little girl from kansas named dorothy gale violet macmillan is captured by mombi imprisoned her castle however dorothy runs away now heartless gloria accompanied by pon eventually meet scarecrow frank moore mombi catches up travelers removes scarecrow's stuffing but dorothy pon are able re-stuff him gloria abandons them wanders off"
Dorothy,"button-bright","scarecrow tin woodman escape from mombi by crossing river raft as original novel wonderful wizard oz 1900","scarecrow's barge-pole gets stuck river bed leaves him stranded","until he is rescued by bird one point this sequence","scarecrow slides down pole into river","scarecrow makes asides camera"
The party encounters the Wizard (J. Charles Haydon),"who tricks mombi by letting group hide red wagon","pulled by sawhorse when mombi attempts follow them","group escape out back wagon four companions meet cowardly lion","who joins them wizard traps mombi container preserved sandwitches paints out sand plural","carrying her away his pocket scarecrow","tosses krewl's soldiers over battlements deal cowardly lion"
1914,"charlie chaplin","american","charlie chaplin mabel normand","comedy","otros","charlie his friend ambrose meet restaurant accidentally leave each other's coats charlie was going pick up baby bottle ambrose was going mail love letter that was his coat pocket charlie's wife finds letter thinks he has secret lover ambrose's wife believes he has illegitimate child controversy arises park between charlie his wife ambrose his wife it is resolved end but charlie sparks another fight between other couple by showing his friend's wife love letter that was his pocket"
1914,"home sweet home","american","d w griffith","earle foxe henry b walthall dorothy gish","biographical drama","john howard payne leaves home begins career theater despite encouragement from his mother girlfriend payne begins lead dissolute life that leads ruin depression deep despair he thinks better days writes song home sweet home that later provides inspiration several others their own times need"
1914,"imar servitor","american","unknown","william garwood","otros","imar servitor rescues american tourist who has lost his way desert two men become friends before he leaves american gives his friend picture his fiance when tourist returns home he discovers that his girlfriend has married horseman both whom have journeyed arabian desert imar's master attacks trader's wife her husband then accuses her infidelity starts beat her imar recognizes her from picture given him by his american friend rescues her they both traverse desert meet her former fianc who has been sent her husband imar's master are slain leaving three friends free any retribution1"
1914,"land head hunters","american","edward s curtis","","documentary drama","following plot synopsis was published conjunction 1915 showing film carnegie hall"
1914,"knockout","american","charles avery","charlie chaplin fatty arbuckle edgar kennedy","comedy","pug down-and-out hobo is talked into pretending he is cyclone flynn boxing champion entering ring fight when real cyclone shows up pug ends up having trade punches him instead"
1914,"laughing gas","american","charlie chaplin","charlie chaplin fritz schade","comedy","we are told charlie is dental assistant he arrives work where patients are already waiting he joins tiny second dental assistant back room they have brief squabble then charlie goes waiting room clean floor carpet sweeper he bumps into patient further squabble starts then back rear room more squabbling"
1914,"mabel wheel","american","mabel normand mack sennett","charlie chaplin mabel normand","comedy","charlie offers mabel ride his two-seater motorcycle which she accepts preference his rival's racing car unfortunately as they go over bump she falls off into puddle rival who has followed his car picks up now stranded mabel he lets her drive sitting tight beside her"
As the race progresses,"despite very late start","mabel","co-driver beside her","manages gain lead three laps charlie his henchmen","tries sabotage race by using oil bombs track oil temporarily spins mabel's car","around it goes backwards lap until oil spins it around again continue right way car tips over bend but group men push heavy bentley v8 upright again meanwhile rival escapes his ropes sees mabel driving his car crowd stand as she crosses finishing line rival his friend go congratulate her meanwhile charlie throws bomb air blows up both himself his two thugs"
1914,"mabel's blunder","american","mabel normand","mabel normand charly chase al st john","comedy","mabel's blunder tells tale young woman who is secretly engaged boss's son1 young man's sister comes visit their office jealous mabel not knowing who visiting woman is dresses up as male chauffeur spy them"
1914,"mabel's married life","american","charlie chaplin","charlie chaplin mabel normand","comedy","chaplin tramp attire sits park his wife mabel while he is gone bar large man holding tennis racquet moves his wife chaplin returns find them laughing together but despite kicking him hitting him his cane man is undeterred his wooing his wife"
1914,"mabel's strange predicament","american","henry lehrman","charlie chaplin mabel normand","comedy","hotel lobby heavily drunk tramp runs into elegant lady mabel who gets tied up her dog's leash falls down he later runs into her hotel corridor locked out her room they run through various rooms mabel ends up room elderly husband where she hides under bed enter jealous wife who soon attacks mabel her husband mabel's lover not mention staggeringly drunken tramp"
1914,"making living","american","henry lehrman","charlie chaplin virginia kirtley alice davenport","comedy","chaplin's character attempts convince passerby director henry lehrman give him money chaplin is then shown flirting woman proposes her which she accepts lehrman enters present woman flowers ring which woman refuses citing she's engaged lerhman sees chaplin slapstick fight between two ensues later lehrman's character takes photograph automobile accident chaplin's character steals camera whilst journalist is helping trapped motorist rushes back paper it claim photograph as his own short pursuit keystone kops follows2"
1914,"masquerader","american","charlie chaplin","charlie chaplin fatty arbuckle","comedy","masquerader is comedy short whose plot revolves around making films keystone charlie plays actor who bungles several scenes is kicked off studio next day strange beautiful woman appears audition film it's charlie drag after doing perfect impersonation female charlie has drawn attention director who hires new actress' his films director gives beautiful woman men's dressing room change while there charlie's returns his tramp costume when director returns looking woman he finds charlie realizes he has been tricked angry director chases charlie through studio until charlie decides jump into what he thinks is prop well film ends director other actors laughing charlie as he is trapped bottom real well plot involving man dressing up as woman was quite popular silent movies"
1914,"neptune's daughter","american","herbert brenon","annette kellerman william e shay william welsh","fantasy","daughter king neptune takes human form avenge death her young sister who was caught fishing net however she falls love king man she holds responsible"
1914,"new janitor","american","charlie chaplin","charlie chaplin jess dandy john t dillon","comedy","hero janitor played by chaplin is fired from work accidentally knocking his bucket water out window onto his boss chief banker tandy meanwhile one junior managers dillon is being threatened exposure by his bookie his unpaid gambling debts thus manager decides steal from company he is caught act raiding vault by bank secretary carruthers who rings help chaplin comes rescue only be misjudged by chief banker as thief secretary fingers manager charlie receives just reward handshake foiling robbery"
1914,"perils pauline","american","louis j gasnier","pearl white","adventure serial","premise story was that pauline's wealthy guardian mr marvin upon his death has left her inheritance care his secretary mr koerner until time her marriage pauline wants wait while before marrying as her dream is go out have adventures prepare herself becoming author mr koerner hoping ultimately keep money himself tries turn pauline's various adventures against her have her disappear his own advantage"
1914,"property man","american","charlie chaplin","charlie chaplin phyllis allen alice davenport","comedy","charlie is charge stage props has trouble actors' luggage conflicts over who gets star's dressing room"
1914,"recreation","american","charles chaplin","charles chaplin","otros","seated park charlie gives his expert attention picture pretty girl cover police gazette since he doesn't have girl his own charlie becomes despondent prepares drown himself park's lake he quickly changes his mind when attractive girl approaches however she has sailor boyfriend charlie sailor begin fight shortly thereafter two policemen become involved what has become terrific brick fight between charlie sailor brick war features strategic retreats clever diversionary movements eventually charlie settles matters by pushing sailor policemen into lake"
1914,"rose rancho","american","cecil b demille","bessie barriscale jane darwell jeanie macpherson","western","esra kincaid la reno takes land by force having taken espinoza land his sights are set castro rancho us government agent kearney johnston holds him off till cavalry shows up he can declare his love juanita rose rancho barriscale"
1914,"rounders","american","charlie chaplin","charlie chaplin fatty arbuckle phyllis allen","comedy","drunk reveller chaplin returns home scolding from his wife then his equally inebriated neighbor arbuckle goes home cold reception from his wife when first couple hear physical altercation across hall second man starts strangling his wife after she hits him reveller's wife sends him investigate two men flee together end up cafe where they also cause trouble when their spouses track them down they escape this time leaky rowboat safely out reach their wives they fall asleep oblivious rising water into which they eventually disappear"
1914,"salomy jane","american","william nigh","beatriz michelena house peters","western","rough-and-tumble gold rush-era california woman salomy jane is saved from ruffian red pete by heroic stranger jack dart latter saved from lynching when falsely accused crime"
1914,"should woman divorce","american","edwin mckim","lea leland leonid samoloff","drama","grace roberts played by lea leland marries rancher edward smith who is revealed be neglectful vice-ridden spouse they have daughter vivian dr franklin leonid samoloff whisks grace away from this unhappy life they move new york under aliases pretending be married since surely smith would not agree divorce grace franklin have son walter milton s gould vivian gets sick however grace franklin return save her somehow this reunion as smith had assumed grace be dead causes death franklin this plot device frees grace return her father's farm both children1"
1914,"squaw man","american","oscar apfel cecil b demille","dustin farnum","western","james wynnegate dustin farnum his cousin henry monroe salisbury are upper class englishmen have been made trustees orphans fund henry loses money bet derby embezzles money from fund pay off his debts when war office officials are informed money missing from fund they pursue james but he successfully escapes wyoming there james rescues nat-u-ritch lillian st cyr daughter chief utes tribe from local outlaw cash hawkins william elmer hawkins plans exact his revenge james but has his plans thwarted by nat-u-ritch who fatally shoots him later james gets into accident mountains needs be rescued nat-u-ritch tracks him down carries him back safety as she nurses him back health they fall love later have child meanwhile during exploration alps henry falls off cliff before he succumbs his injuries henry signs letter confession proclaiming james innocence embezzlement before henry's widow lady diana winifred kingston others arrive wyoming tell james about news sheriff recovers murder weapon that was used against cash hawkins inside james nat-u-ritch's home realizing their son was not safe couple sends him away leaving them both distraught facing possibilities losing both her son her freedom nat-u-ritch decides take her own life instead movie ends both chief utes tribe james embracing her body 1"
1914,"sweet low","american","william desmond taylor","william garwood harry von meter","otros","sad lonely unhappy old man sits city park thinking about past little girl comes up him takes his hand asking him what is making him so sad child reminds him his own lost little girl times past begin flow through his memory he had happy life loving wife baby daughter but he wanted give them more so he headed west gold fields work was long hard he was able keep going thought what he could do his wife child as he worked he often recalled his wife singing sweet low their small daughter after he had made his fortune he headed home his loved ones when he arrived there he found that his wife had died his young daughter was considered orphaned after her death was sent adoption he tried vain locate his daughter467"
1914,"those love pangs","american","charlie chaplin","charlie chaplin chester conklin cecile arnold","comedy","masher played by charlie chaplin fights attention landlady rival played by chester conklin beginning film masher makes his attempt first while he is talking landlady played by helen carruthers rival pokes him fork from behind curtain masher gets upset returns table rival makes gesture masher goes talk landlady as masher sweet talks landlady rival does same thing masher did him landlady gets upset walks away from masher upset masher returns table takes rival outside by his tie1"
1914,"tillie's punctured romance","american","mack sennett","charlie chaplin marie dressler mabel normand keystone kops","comedy","charles chaplin portrays womanizing city man who meets tillie marie dressler country after fight his girlfriend mabel normand when he sees that tillie's father mack swain has very large bankroll his workers he persuades her elope him city he meets woman he was seeing already tries work around complication steal tillie's money he gets tillie drunk restaurant asks her let him hold pocketbook since she is drunk she agrees he escapes his old girlfriend money"
Later that day,"they see picture show entitled thief's fate","which illustrates their thievery form morality play they both feel guilty leave theater while sitting park bench","paperboy gordon griffith asks him buy newspaper he does so","reads story about tillie's uncle banks charles bennett","millionaire who died while mountain-climbing expedition tillie is named sole heir inherits three million dollars man leaves his girlfriend park bench runs restaurant","she believes that he truly loves her they marry they move into uncle's mansion throw big party"
The uncle is found on a mountaintop,"alive after all he goes back his mansion","disarray after tillie instigated gunfight direct result husband smuggling old girlfriend into house which","luckily","did not harm anyone uncle banks insists that tillie be arrested damage she has caused his house three run from cops all way dock","where car bumps tillie into water she flails about","both tillie man's girlfriend realize that they are too good him he leaves"
1914,"wrath gods","american","reginald barker","sessue hayakawa tsuru aoki frank borzage","drama","baron yamaki sessue hayakawa is fisherman who lives along his daughter toya san tsuru aoki island island is inhabited by buddhists yamaki had been cursed by buddha affront by one his ancestors who murderous rage defiled altar buddha nearby temple curse was that if his daughter married anyone then nearby volcano would erupt toya finds it difficult form relationships boys because village prophet takeo thomas kurihara has spread rumour that she is cursed she is therefore unwilling continue her father's acceptance curse when yamaki takes toya-san buddha shrine garden his house pray try get curse removed she vents her feelings about god's unfairness"
An American sailor,"tom wilson frank borzage","whose ship has been wrecked storm comes them help shelter wilson falls love toya teaches her about christianity consternation her father","toya decides convert marry tom local japanese-american mission however","her father also converts locals","who have been stirred up by takeo","yamaki throws out buddha statue he had set up his house puts cross its place villagers are infuriated by this they beat him death beneath cross burn his house eventually"
1915,"after five","american","cecil b demille","edward abeles sessue hayakawa","comedy","ted ewing edward abeles invests both his own money his fiance nora heldreth betty schade when broker friend offers big investment returns after broker friend disappears though ewing believes that he has squandered their money sets out course action recover it he takes out life insurance policy then tries get himself accidentally killed his numerous attempts are no avail next he hires some strong arms kill him since they have apparently been following him anyway he gives money his murder hire his valet oki sessue hayakawa but then broker returns ewing discovers that his investment has doubled strong arms after him ewing must straighten out situation before it's too late"
1915,"anna karenina","american","j gordon edwards","betty nansen edward jos","historical drama","anna karenina is married aristocrat socialite living saint petersburg she is living torrid romance wealthy young count he loves her is willing marry her once she leave her husband"
1915,"birth nation","american","d w griffith","lillian gish mae marsh","epic","film follows two juxtaposed families one is northern stonemans abolitionist us representative austin stoneman based reconstruction-era representative thaddeus stevens1415 his daughter two sons other is southern camerons dr cameron his wife their three sons two daughters phil elder stoneman son falls love margaret cameron during brothers' visit cameron estate south carolina representing old south meanwhile young ben cameron idolizes picture elsie stoneman during civil war young men from both families enlist their respective armies war younger stoneman two cameron brothers are killed war meanwhile cameron women are rescued by confederate soldiers who rout black militia after attack cameron home ben cameron leads heroic charge siege petersburg earning nickname little colonel but he is also wounded captured he is then taken union hospital washington dc"
During his stay at the hospital,"he is told that he will be hanged also hospital","he meets elsie stoneman","whose picture he has been carrying she is working there as nurse elsie takes cameron's mother","who had traveled washington tend her son","see abraham lincoln","his conciliatory postwar policy expires him wake president's death"
Stoneman and his protégé Silas Lynch,"mulatto exhibiting psychopathic tendencies","17 head south carolina observe implementation reconstruction policies firsthand during election","which lynch is elected lieutenant governor","blacks are observed stuffing ballot boxes","while many whites are denied vote newly elected","such as one member taking off his shoe putting his feet up his desk"
Meanwhile,"inspired by observing white children pretending be ghosts scare black children","ben fights back by forming ku klux klan as result","elsie","out loyalty her father","breaks off her relationship ben later","freedman soldier who is now captain he confronts flora tells her that he desires get married frightened"
Congressman Stoneman leaves to avoid being connected with Lt. Gov. Lynch's crackdown. Elsie,"learning dr cameron's arrest","goes lynch plead his release lynch","who had been lusting after elsie","tries force her marry him","which causes her faint stoneman returns","stoneman is happy when lynch tells him he wants marry white woman"
1915,"bluffers","american","b reeves eason","vivian rich gayne whitman","otros","stories revolved around inhabitants fictitious land 'bluffoonia' their ongoing struggle against evil tyrant 'clandestino' his plans destroy forest which they live"
1915,"captive","american","cecil b demille","blanche sweet house peters","historical","captive chronicles life young woman named sonia martinovitch blanche sweet who lived during midst balkan wars she lives close turkish border small farm montenegro her older brother marko martinovich page peters younger brother milo gerald ward nearby turkish nobleman by name mahmud hassan house peters lives lavish palace marko martinovich fights battle lule burgess is tragically killed leaving martinovich her remaining brother milo helpless subsequently hassan is taken prisoner assigned martinovichs farm help her chores sonia is unable complete without her brother"
The war waged on,"turks recaptured village where sonia","hassan milo live unfortunately","drunken officer william elmer tries force himself martinovich","but she refuses fueled by love","hassan intervenes","hassan returns home only be faced grim reality that he has been stripped his title"
1915,"carmen","american","cecil b demille","geraldine farrar wallace reid","adventure","don jos officer law is seduced by gypsy girl carmen order facilitate her clan's smuggling endeavors don jos becomes obsessed turning violent crime himself order keep attention carmen"
1915,"champion","american","charles chaplin","charles chaplin","comedy short","this comedy charlie chaplin has companion--a pet bulldog walking along street his bulldog charlie finds good luck horseshoe just as he passes training camp enormous fighter named spike dugan outside camp is large painted advertisement which states dugan is seeking sparring partners who can take take punch after watching other better fighters be soundly beaten by dugan charlie decides his best bet is put horseshoe inside his boxing glove using loaded glove charlie connects solid punch wins trainer prepares charlie fight world champion gambler wants charlie throw fight he trainer's daughter fall love"
1915,"cheat","american","cecil b demille","fannie ward sessue hayakawa","drama","socialite edith hardy ward has extravagant tastes her stockbroker husband richard dean all his money tied up very promising investment insists she send back expensive dress she has just bought when she asks acquaintance what he could do 10000 he assures her he could double it overnight she gives him red cross funds entrusted her as charity's treasurer"
The same day,"her husband is jubilant that his gamble has paid off she asks him 10","000","which she explains is cover her losses playing bridge she visits tori tries pay him back","but he refuses cancel their bargain she threatens kill herself","but he is so confident that she is bluffing that he hands her pistol when she continues resist his advances","then flees richard"
1915,"chimmie fadden out west","american","cecil b demille","victor moore","comedy western","chimmie is sent out west as part scam by railroad company he is pretend find gold then retreat as company takes advantage things do not go as planned"
1915,"enoch arden","american","christy cabanne","alfred paget lillian gish","drama","based summary film magazine2 enoch annie walter grow up as friends later annie decides marry enoch but walter though bitter about decision remains their friend enoch annie have two children then business takes enoch sailing voyage which he states will take less than one year he asks walter look over his family while he is gone enoch does not return walter dutifully cares after enoch's wife children after ten years word comes wreck seen pacific everyone believes enoch has died walter annie then marry one night stranger comes house through window sees walter annie children happy stranger who is enoch finds old woman who tells him what happened enoch tells her keep his secret then leaves he later dies smile his face"
1915,"fool there was","american","frank powell","theda bara edward jose","drama","john schuyler edward jos rich wall street lawyer diplomat is husband devoted family man he is sent england diplomatic mission without his wife daughter ship he meets vampire woman theda bara who uses her charms seduce men only leave after ruining their lives"
1915,"four feathers","american","j searle dawley","edgar l davenport fuller mellish","drama","considered coward by his fiance comrades arms british army officer has redeem himself"
1915,"fresh from farm","american","hal roach","harold lloyd","comedy","farm youth goes college pursues pretty co-eds joins fraternity"
1915,"giving them fits","american","hal roach","harold lloyd","comedy","luke harold lloyd works shoe store but has difficulty focusing work when pretty girl is near"
1915,"inspiration","american","george foster platt","audrey munson thomas curran","otros","young sculptor searches perfect model inspire his work he finds poverty-stricken girl who he thinks is one he has been looking when she wanders off he visits all famous statues manhattan hoping find her again"
1915,"italian","american","reginald barker","george beban clara williams","drama","film tells story pietro beppo donnetti donnetti is poor but happy gondolier venice italy beppo falls love annette ancello but her father trudo wants her marry another suitor one who is successful businessman if beppo can prove himself within year trudo agrees allow him marry annette"
1915,"love loot crash","american","mack sennett","charley chase dora rodgers","comedy","dora her father are lost kitchen they have just fired their cook ad new one newspaper attracts two crooks one which is fritz schade he dresses like woman apply job his first opportunity he plans loot house but just then cop beat stops coffee fritz locks cop basement picks up what things value he can escapes he his pal drive off model t along way dora is kidnapped keystone cops give chase all ends well end"
1915,"pool sharks","american","edwin middleton","w c fields","comedy short","following standard style era film is romantic slapstick comedy short fields his rival played by bud ross vie over affections woman when their antics get out hand picnic it is decided that they should play game pool both them are pool sharks after game turns into farce fight ensues fields throws ball his rival who ducks ball flies through window breaks hanging goldfish bowl soaking woman they are fighting over leaving goldfish her hair she storms into pool hall rejects both men"
1915,"raven","american","charles brabin","henry walthall","biography","film begins by tracing poe's ancestral heritage before poe himself is born after loss his parents poe is taken by john francis allan richmond virginia film then jumps ahead about 15 years poe's time university virginia due debts from playing cards growing interest wine poe begins have difficulties he hallucinates that he has killed man pistol duel"
After having a drink with his chum Tony,"poe goes visit virginia tony follows shortly after two compete virginia's affection later","virginia says she will choose man who guesses which hand holds wreath behind her back poe allows tony go first","though he guesses correctly","virginia secretly switches wreath other hand so that poe can win shortly after","front tony virginia","despite his wife's attempts calm him poe is asked leave allan family but virginia offers come along poe's recently purchased slave comes along as well"
Poe has an alcohol-induced hallucination that recreates his poem (and the film's namesake) The Raven. As Poe sits alone,"he hears tapping chamber door door knocker moves its own poe thinks he sees outline large","black bird as poe stumbles outside","word wine appearing rock he braces himself against","he sees ghost as he reaches another sip wine","human skull appears place glass finally","repeating word nevermore as poe attempts talk it"
Poe,"fordham","new york","is dire poverty along virginia her mother maria virginia has terrible coughing fit","sign her tuberculosis poe","desperate money","bothered by cold winter weather"
1915,"soul broadway","american","herbert brenon","valeska suratt","drama","as described film magazine3 la valencia suratt stage beauty has ensnared young man who steals order shower her luxuries that she demands he is caught after serving 5-year term emerges from prison gray haired man la valencia comes across him again her passion revives she seeks ensnare him again but now he is married his old life has no charms him desperate she then threatens reveal his past his wife which leads terrific climax"
1915,"toast death","american","thomas h ince","louise glaum","drama","mademoiselle poppea played by glaum is leading ballerina imperial ballet calcutta india her beauty charm bring her many admirers among them british soldier captain drake played by keenan indian prince yar khan played by mayall bengalese dragoons"
1915,"tramp","american","charles chaplin","charles chaplin","comedy short","tramp charlie chaplin finds girl his dreams works family farm he helps defend farm against criminals all seems well until he discovers girl his dreams already has boyfriend unwilling be problem their lives he takes road though he is seen skipping swinging his cane as if happy be back road where he knows he belongs"
1915,"warrens virginia","american","cecil b demille","blanche sweet james neill","drama","as american civil war begins ned burton leaves his southern love agatha warren joins union army he is later protected saved from death by agatha spite her loyalty south"
1915,"work","american","charlie chaplin","charles chaplin edna purviance","comedy","charlie is assistant izzy wake painter paper hanger two men are their way job via cart boss rides cart leisurely sitting atop all their paraphernalia while charlie is hitched cart like mule boss also treats charlie like mule beating him stick get him move faster when boss opts take shortcut up steep hill out-of-control cart descends is nearly hit by oncoming streetcar second attempt scale enormous hill is successful house they are paper charlie becomes distracted by pretty maid boss has misadventure falls his head ending up bucket paste meanwhile short-tempered homeowner is contending threat exploding stove amorous french visitor who is making passes his wife shots are firedand target turns out be charlie who has been enjoying maid's company enraged charlie gives frenchman his boss homeowner each face full paste as fight moves into kitchen troublesome stove finally explodes when dust dies down charlie is nowhere be seen slowly oven door opens charlie looks out retreats back into stove"
1916,"20000 leagues under sea","american","stuart paton","lois alexander curtis benton wallace clarke allen holubar","action adventure","strange giant sea creature has been rampaging seas american naval ship abraham lincoln is sent investigate but is rammed by creature which turns out be nautilus fantastic submarine enigmatic captain nemo rudderless 'abraham lincoln' drifts then strange rescue he guides sub surface under those pitched overboard his crew take them including professor aronnax his daughter who are french below through hatch surface deck after they pledge not escape nemo shows them wonders underwater world even takes them hunting sea floor"
1916,"abandonment","american","donald macdonald","forrest taylor harry von meter helene rosson","drama","dr edmund b stewart is talented young physician who is working hard build both his professional reputation practice he is engaged emily thurston whose father is said be wealthy thurstons move best social circles emily is congratulated because her fiance is successful man emily loves edmund but is unhappy amount time he spends working his practice stewart's work schedule has caused her miss many social engagements8"
1916,"aryan","american","william s hart","william s hart louise glaum bessie love","western drama","hard working miner steve denton played by hart has become rich from years prospecting he takes his fortune leaves visit his ill mother mrs denton played by claire"
Learning the next day that his mother is dead,"denton is infuriated about being cheated betrayed by trixie","who pretended be good","other false friends his rage","he kills trixie's lover","chip emmett played by mayall","he takes her into desert enslaving trixie his desert hideaway"
1916,"bondman","american","edgar lewis","william farnum dorothy bernard lo hart","drama","narrative hinges jason's vow wreak vengeance his father abandoning his mother but his father dies jason turns his desire revenge against sunlocks his father's son another wife both sunlocks jason are love greeba daughter governor isle man sunlocks jason go iceland are confined prison jason not knowing sunlocks saves his half-brother from death mines jason not knowing sunlocks saves his half-brother from death mines jason is freed but sunlocks is condemned death greeba pleads sunlocks' life jason sacrifices himself by taking sunlocks' place dying him1"
1916,"civilization","american","reginald barker","howard c hickman enid markey george fisher","drama","film opens outbreak war previously peaceful kingdom wredpryd count ferdinand is inventor new submarine who is assigned command new ship battle king wredpryd orders count sink propatria my country civilian ship that is believed be carrying munitions as well as civilian passengers his mind's eye count sees vision what would happen if he sent torpedo crashing into liner he recoils he refuses follow his orders saying he is obeying orders -- from higher power realizing his crew will carry out orders count fights crew blows up his submarine sending it bottom sea"
1916,"daughter gods","american","herbert brenon","annette kellerman hal de forrest","drama","sultan agrees help evil witch destroy mysterious beauty if witch will bring his young son back life"
1916,"divorce daughter","american","frederick sullivan","florence la badie edwin stanley ethelmary oakland","drama","alicia is poor girl living city her family when her father receives inheritance he is able follow his dream becoming artist moves his family near artist's colony country there he falls prey scheming widow he his wife separate alicia meanwhile has become involved young man who is widow's accomplice she throws over her former suitor dr john osborne young man is proponent free love but he gets little too free alicia she beans him small statuette she goes running back her doctor sweetheart her parents decide reconcile since their separation obviously isn't doing their children any good"
1916,"fatty mabel adrift","american","roscoe fatty arbuckle","roscoe fatty arbuckle mabel normand","short comedy","story involves arbuckle as farm boy marrying his sweetheart normand they have their honeymoon fatty's dog luke cottage seashore high tide that night al st john fatty's rival his confederates set cottage adrift fatty mabel awaken next morning find themselves surrounded by water their bedroom house afloat"
